CAEMP25N Total full-time and part-time employment by NAICS industry 1
CAEMP25N Total full-time and part-time employment by NAICS industry 1
County
GeoFips,GeoName,LineCode,Description,2005,2006,2007
01001,"Autauga, AL",,Employment by place of work,,,
01001,"Autauga, AL",10,Total employment (number of jobs),17404,17189,17998
01001,"Autauga, AL",500,"      Manufacturing",1767,1703,1687
01001,"Autauga, AL",2002,"      Military",296,304,299
01003,"Baldwin, AL",,Employment by place of work,,,
01003,"Baldwin, AL",10,Total employment (number of jobs),82612,87768,92728
01003,"Baldwin, AL",500,"      Manufacturing",5598,5597,5480
01003,"Baldwin, AL",2002,"      Military",956,986,974
01005,"Barbour, AL",,Employment by place of work,,,
01005,"Barbour, AL",10,Total employment (number of jobs),14363,14405,14054
01005,"Barbour, AL",500,"      Manufacturing",4354,4267,4040
01005,"Barbour, AL",2002,"      Military",158,157,150
01007,"Bibb, AL",,Employment by place of work,,,
01007,"Bibb, AL",10,Total employment (number of jobs),6194,6336,6565
01007,"Bibb, AL",500,"      Manufacturing",365,433,496
01007,"Bibb, AL",2002,"      Military",121,121,118
01009,"Blount, AL",,Employment by place of work,,,
01009,"Blount, AL",10,Total employment (number of jobs),15068,15290,15847
01009,"Blount, AL",500,"      Manufacturing",(D),(D),1707
01009,"Blount, AL",2002,"      Military",322,326,319
01011,"Bullock, AL",,Employment by place of work,,,
01011,"Bullock, AL",10,Total employment (number of jobs),4065,4013,3973
01011,"Bullock, AL",500,"      Manufacturing",(D),(D),(D)
01011,"Bullock, AL",2002,"      Military",56,55,53
01013,"Butler, AL",,Employment by place of work,,,
01013,"Butler, AL",10,Total employment (number of jobs),9523,9802,9745
01013,"Butler, AL",500,"      Manufacturing",1454,1495,1367
01013,"Butler, AL",2002,"      Military",122,122,118
01015,"Calhoun, AL",,Employment by place of work,,,
01015,"Calhoun, AL",10,Total employment (number of jobs),63108,63816,65674
01015,"Calhoun, AL",500,"      Manufacturing",7953,7494,7569
01015,"Calhoun, AL",2002,"      Military",703,710,671
01017,"Chambers, AL",,Employment by place of work,,,
01017,"Chambers, AL",10,Total employment (number of jobs),14564,13867,13779
01017,"Chambers, AL",500,"      Manufacturing",3994,3439,3060
01017,"Chambers, AL",2002,"      Military",207,204,197
01019,"Cherokee, AL",,Employment by place of work,,,
01019,"Cherokee, AL",10,Total employment (number of jobs),7838,7861,8157
01019,"Cherokee, AL",500,"      Manufacturing",1315,1180,1189
01019,"Cherokee, AL",2002,"      Military",147,149,144
01021,"Chilton, AL",,Employment by place of work,,,
01021,"Chilton, AL",10,Total employment (number of jobs),13146,13596,13930
